"source","target","key","type","confidence","source_row"
"SPE000001","SPE000253","SPE000253-delivered","delivered",1.0,247
"SPE000001","TOP000534","SPE000253-TOP000534-covers","covers",1.000000191681639,247
"SPE000001","TOP000535","SPE000253-TOP000535-covers","covers",1.0000001803233844,247
"SPE000001","SPE000255","SPE000255-delivered","delivered",1.0,249
"SPE000001","TOP000537","SPE000255-TOP000537-covers","covers",1.000000156841901,249
"SPE000001","TOP000538","SPE000255-TOP000538-covers","covers",1.0000001512304695,249
"SPE000001","SPE000260","SPE000260-delivered","delivered",1.0,254
"SPE000001","TOP000547","SPE000260-TOP000547-covers","covers",1.000000174721789,254
"SPE000001","TOP000548","SPE000260-TOP000548-covers","covers",1.0000001527811517,254
"SPE000001","TOP000549","SPE000260-TOP000549-covers","covers",1.0000001480002476,254
"SPE000001","SPE000263","SPE000263-delivered","delivered",1.0,257
"SPE000001","TOP000396","SPE000263-TOP000396-covers","covers",1.0000001637816867,257
"SPE000001","TOP000553","SPE000263-TOP000553-covers","covers",1.0000001599167143,257
"SPE000001","SPE000265","SPE000265-delivered","delivered",1.0,259
"SPE000001","TOP000557","SPE000265-TOP000557-covers","covers",1.000000197836729,259
"SPE000001","TOP000558","SPE000265-TOP000558-covers","covers",1.0000001869562358,259
"SPE000001","TOP000344","SPE000265-TOP000344-covers","covers",1.0000001825992526,259
"SPE000001","SPE000268","SPE000268-delivered","delivered",1.0,262
"SPE000001","TOP000561","SPE000268-TOP000561-covers","covers",1.000000185144022,262
"SPE000001","TOP000562","SPE000268-TOP000562-covers","covers",1.000000164174005,262
"SPE000001","SPE000273","SPE000273-delivered","delivered",1.0,267
"SPE000001","TOP000570","SPE000273-TOP000570-covers","covers",1.000000171946615,267
"SPE000001","TOP000570","SPE000353-TOP000570-covers","covers",1.000000171946615,349
"SPE000001","TOP000570","SPE000370-TOP000570-covers","covers",1.000000171946615,366
"SPE000001","TOP000571","SPE000273-TOP000571-covers","covers",1.0000001659610431,267
"SPE000001","TOP000166","SPE000273-TOP000166-covers","covers",1.0000001653029271,267
"SPE000001","TOP000166","SPE000497-TOP000166-covers","covers",1.0000001653029271,495
"SPE000001","SPE000284","SPE000284-delivered","delivered",1.0,278
"SPE000001","TOP000585","SPE000284-TOP000585-covers","covers",1.0000001644597885,278
"SPE000001","TOP000586","SPE000284-TOP000586-covers","covers",1.0000001537341476,278
"SPE000001","SPE000285","SPE000285-delivered","delivered",1.0,279
"SPE000001","TOP000587","SPE000285-TOP000587-covers","covers",1.0000002065340339,279
"SPE000001","TOP000588","SPE000285-TOP000588-covers","covers",1.0000001617711207,279
"SPE000001","SPE000295","SPE000295-delivered","delivered",1.0,289
"SPE000001","TOP000598","SPE000295-TOP000598-covers","covers",1.0000001770763525,289
"SPE000001","TOP000599","SPE000295-TOP000599-covers","covers",1.0000001670680592,289
"SPE000001","SPE000296","SPE000296-delivered","delivered",1.0,290
"SPE000001","TOP000600","SPE000296-TOP000600-covers","covers",1.000000192028914,290
"SPE000001","TOP000601","SPE000296-TOP000601-covers","covers",1.0000001579929658,290
"SPE000001","SPE000298","SPE000298-delivered","delivered",1.0,292
"SPE000001","TOP000602","SPE000298-TOP000602-covers","covers",1.0000001562340926,292
"SPE000001","TOP000603","SPE000298-TOP000603-covers","covers",1.000000153812659,292
"SPE000001","TOP000604","SPE000298-TOP000604-covers","covers",1.0000001486342764,292
"SPE000001","SPE000305","SPE000305-delivered","delivered",1.0,299
"SPE000001","TOP000616","SPE000305-TOP000616-covers","covers",1.0000001807185102,299
"SPE000001","TOP000617","SPE000305-TOP000617-covers","covers",1.0000001710423074,299
"SPE000001","TOP000618","SPE000305-TOP000618-covers","covers",1.00000017045502,299
"SPE000001","SPE000306","SPE000306-delivered","delivered",1.0,301
"SPE000001","TOP000217","SPE000306-TOP000217-covers","covers",1.0000001914223757,301
"SPE000001","TOP000619","SPE000306-TOP000619-covers","covers",1.0000001612283331,301
"SPE000001","SPE000310","SPE000310-delivered","delivered",1.0,305
"SPE000001","TOP000626","SPE000310-TOP000626-covers","covers",1.0000001708933688,305
"SPE000001","TOP000627","SPE000310-TOP000627-covers","covers",1.000000170403654,305
"SPE000001","TOP000628","SPE000310-TOP000628-covers","covers",1.0000001601676332,305
"SPE000001","SPE000316","SPE000316-delivered","delivered",1.0,311
"SPE000001","TOP000634","SPE000316-TOP000634-covers","covers",1.0000001962623102,311
"SPE000001","TOP000635","SPE000316-TOP000635-covers","covers",1.0000001697468288,311
"SPE000001","TOP000039","SPE000316-TOP000039-covers","covers",1.000000154811247,311
"SPE000001","SPE000318","SPE000318-delivered","delivered",1.0,313
"SPE000001","TOP000259","SPE000318-TOP000259-covers","covers",1.0000001503939955,313
"SPE000001","TOP000148","SPE000318-TOP000148-covers","covers",1.0000001452685021,313
